rep,seed,model,success,fit_success,ios_success,convergence,error,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_min_global,q_min_observed,q_min_path,q_median_path,time_sec,ios_T_N,ios_sampled_ios_sum,ios_formal_T_N_complete,ios_expected_n_transitions,ios_n_transitions,ios_n_valid,ios_n_failed,ios_success_rate,ios_median_ios_contribution,ios_max_ios_contribution,ios_min_ios_contribution,ios_total_seconds
66,20260669,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,72.5417505782483,-59.30469440689263,-20.761285079132943,29.75553528387134,35.95894804925329,46.58787259541432,261.3399938018556,4991.101702037386,890.5753867055062,-406.5270272133477,-1403.0454666544304,8170.140391486077,0.0002741827775025,4053.222374919828,4198.508156015163,5143.546425306188,3887.714760707997,58.901276780218154,58.901276780218154,True,2499.0,2499.0,2499.0,0.0,1.0,0.0011586239810363,13.351147242381948,-0.1729851556390524,3797.9896052128897
67,20260670,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,66.36713772146088,-93.76296984582451,30.519355976118252,70.5357020021836,-28.36419946959922,62.77498560671815,81.39367134384409,3161.182828757658,567.3582072356252,-377.21741541626176,-336.85816535744783,8205.072797608213,0.0002746643549471,2923.8456839879095,2977.524865539391,3937.734199410904,2955.1714283750007,36.771425588208366,36.771425588208366,True,2499.0,2499.0,2499.0,0.0,1.0,0.0011921880999103,7.0586207223269,0.000410815473363,2865.7580076408995
68,20260671,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,69.02091655107074,-97.66303668762066,19.83182615721436,82.1475594276828,-9.578008823270345,48.49254821027148,282.61700243291654,4072.770492537042,736.4102121284766,-377.7803083702779,-1197.4871175619298,8111.891934264314,0.0002740332274697,3466.6373362235217,3485.9445609619834,4524.042630488513,3487.3370765,54.13190065272224,54.13190065272224,True,2499.0,2499.0,2499.0,0.0,1.0,0.0011463132781526,32.34931621214932,0.000470797868826,3398.277746777225
69,20260672,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,76.35013722719945,-75.16746119057106,2.0023822189888514,66.91022816432047,-13.62661056992458,41.124855943790166,181.33863810466917,4453.994530264691,175.5002864201373,-169.91084717724246,-374.6080189125166,7886.207187386187,4254.092908027997,4254.092908027996,4254.092911731124,4785.884924036133,3021.007535959001,30.258926214188428,30.258926214188428,True,2499.0,2499.0,2499.0,0.0,1.0,0.0008759885404425,9.354587054865585,0.0003350239010466,2932.7022132369166
70,20260673,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,67.59783210642539,-90.562207197907,27.03658149394683,62.57653957285258,-1.78899695722652,49.18589942792613,227.19691082058873,4518.912496501284,487.2946352552755,-307.9342917388741,-1012.4333692075752,8248.954206244007,0.00027460034471,3466.907908211936,3719.254034917418,4836.751803466929,2857.7320989579966,36.131430609723935,36.131430609723935,True,2499.0,2499.0,2499.0,0.0,1.0,0.0009556132966639,3.9392645966031665,3.70946048500187e-05,2768.103071356105
71,20260674,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,70.81800354377926,-100.68503917883564,9.17419418530196,85.24853664770632,2.118943783951471,48.77548794081379,139.99620062094735,4115.855575033075,558.4649776632042,-330.0872719956252,-473.7109345660991,8083.615792661723,4015.4007307264287,4015.4007307264287,4015.403160488645,4661.669942715544,3040.0994582919957,31.23964887753388,31.23964887753388,True,2499.0,2499.0,2499.0,0.0,1.0,0.0009769745941312,6.060626589853051,6.934854582274497e-05,2951.107803344021
72,20260675,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,71.75127640555002,-121.16357538649746,3.705052434208129,126.87675204908612,8.25583771876207,43.730182813530895,170.51211543998966,5368.154789943541,86.17153752599795,-122.77291377718342,-239.35721165567105,8304.483776923722,5201.940177739677,5201.940177739677,5201.940186609107,5728.254577343688,3468.2625338329963,59.87224723900974,59.87224723900974,True,2499.0,2499.0,2499.0,0.0,1.0,0.0008280191820957,31.08870971775022,0.0001384339974004,3379.1024054171503
73,20260676,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,69.38339402256587,-88.86449273638564,6.942424824638432,73.90091937714632,-17.684340439696708,45.604043764582585,48.02337552670521,4113.668963285173,496.4355017638498,-300.92833930177545,-158.44641672040146,8105.097431808992,4101.026199581563,4101.026199581561,4101.026335386662,4764.6584597405745,3338.0618114169993,26.21624165828827,26.21624165828827,True,2499.0,2499.0,2499.0,0.0,1.0,0.000971124826651,3.132358070737766,0.0003606588105382,3250.319592932065
74,20260677,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,68.78331273842534,-52.96970959181118,11.02781961176504,25.64736263708457,-30.38964395483313,57.59472824451705,22.39183904968346,3581.051311743754,290.0822206990864,-256.4557986877817,-306.40817232651796,8154.266790625541,0.0002742041815508,3103.7687431661366,3125.0237273514535,4369.967394380506,3814.672009333001,32.37538234540165,32.37538234540165,True,2499.0,2499.0,2499.0,0.0,1.0,0.0011090505983335,5.261881094715058,0.0003706662719702,3724.461354963976
75,20260678,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,66.78893216913421,-95.19028957220544,-2.960500068188495,66.28080791276294,-16.16632133203386,56.77328056247262,48.311468429043735,4026.9447058227656,347.46372810605453,-280.9032269024173,-119.51790739993862,8367.669495516904,4016.666992615748,4016.6669926157465,4016.6670279374353,4746.249701275845,3218.5732543330014,37.19748342098205,37.19748342098205,True,2499.0,2499.0,2499.0,0.0,1.0,0.0009039434997135,12.020425031053122,0.0003585493645767,3129.650321150766
