rep,q_min_global,q_min_observed,q_min_protected,q_path_min,q_path_median,q_path_q05,q_path_q95,augmented_eig_min,tail_margin,nll,time_sec
25,0.00027519540935827536,2880.2724390322937,1012.6033562129857,3053.4455674696387,5576.681191860729,3542.6830395315396,17889.36514876716,1.6464985545412458e-07,88.12917909195224,8266.748570816908,3.765467083000004
26,0.00027575391504797153,3416.437476451481,3084.174505540793,3418.920856948247,4559.762286175559,3517.7372148567965,19605.464565779508,3.293335294875423e-08,61.5077278250336,8491.939711309622,3.4068960830000066
27,3450.50599527268,3450.5059952726806,3450.5059952726797,3450.506011518538,4539.058602645373,3463.527534300444,15289.31016460686,-2.2797771439971115e-13,87.46877868390769,7991.944315286275,2.858410291999988
28,3499.1126338854897,3499.1126338854892,3499.1126338854856,3499.1126740423597,4657.866669489489,3510.410287237225,16155.782138336244,7.022315955870748e-14,77.1948818578257,8197.43531355364,3.3697962090000004
29,0.00027335944469086826,3383.510363118486,2758.1988922535625,3395.2332365016737,4532.286369958947,3524.3943493223737,14670.938074739583,3.206962908984247e-08,99.21302177185441,7859.182476220227,3.648419000000004
30,3238.712344171535,3238.712344171535,3238.7123441715316,3238.713693210347,4236.464283856245,3249.271516132424,16272.432433160218,-2.3510863794695684e-13,74.46802324996345,8163.487971620346,3.099411250000003
31,3894.956539184871,3894.95653918487,3894.95653918487,3894.95841645275,4948.022194079277,3900.936695171806,17767.830278499245,-3.200287572493262e-13,78.12702062177095,8376.248638950467,2.702737917000007
32,0.0002744063231148175,3145.9513093374576,2225.2644082125667,3191.8481278581326,4799.086483315337,3395.1149579144526,17318.4933082287,5.191421083739646e-08,77.11460934880216,8248.739480692982,3.858249833000002
33,3937.1358406301124,3937.1358406301106,3937.1358406301124,3937.1392669287384,5274.626877817909,3949.197946413519,20097.767768487054,2.686576520232878e-13,94.25723130093333,8084.02329426268,2.8354266249999966
34,0.0002738468465395272,3204.680546961687,2952.8384998542797,3216.9409040157498,4308.613103856906,3294.8528387973056,16094.874943356019,4.373005122736904e-09,82.79484320328203,7957.508438045173,3.1390781249999975
35,3575.5670592035863,3575.5670592035854,3575.5670592035854,3575.568134235445,4557.841687647791,3584.8697771918523,16533.280658886735,1.0427864395117348e-13,74.33528389300523,8263.951104655793,3.0371858329999952
36,0.0002746424488577759,3035.998060456682,973.286601451694,3140.6069491052535,5765.7627408863555,3579.8013637077765,17525.27957017273,1.6779632811253127e-07,96.42842229844017,8096.373768536845,3.122875332999996
37,3813.602951244997,3813.602951244997,3813.6029512449913,3813.6029791560495,4798.657942325837,3821.6096858951537,16774.560056665432,-5.677349861820998e-13,88.524117207051,8125.659897609188,3.075003458999987
38,0.0002742899268923793,3484.2941845228165,3270.846987104929,3491.6350448603034,4646.878034794625,3570.966287257916,16485.892746275465,2.304275178457476e-09,79.46313042112205,8110.978680037856,3.3450705829999947
