rep,n_success,p_upper,p_lower,q50,q95
135,136,0.9635036496350365,0.043795620437956206,37.66787690761413,104.5223526789682
136,137,0.9637681159420289,0.043478260869565216,37.887527899029614,104.39949098691136
137,138,0.9640287769784173,0.04316546762589928,37.66787690761413,104.27662929485457
138,139,0.9642857142857143,0.04285714285714286,37.887527899029614,108.01753041877203
139,140,0.9645390070921985,0.0425531914893617,38.741760509566916,107.19140423929605
140,141,0.9647887323943662,0.04225352112676056,39.595993120104225,106.36527805982054
141,142,0.965034965034965,0.04195804195804196,38.741760509566916,106.2424163677637
142,143,0.9652777777777778,0.041666666666666664,39.595993120104225,106.11955467570691
143,144,0.9655172413793104,0.041379310344827586,39.78900253358272,120.40942311090883
144,145,0.9657534246575342,0.0410958904109589,39.595993120104225,119.58329693143286
145,146,0.9659863945578231,0.04081632653061224,38.92834508972587,118.75717075195735
146,147,0.9662162162162162,0.04054054054054054,39.595993120104225,117.93104457248137
147,148,0.9664429530201343,0.040268456375838924,39.78900253358272,117.10491839300586
148,149,0.9666666666666667,0.04,39.98201194706121,124.22587084365772
149,150,0.9668874172185431,0.039735099337748346,39.78900253358272,124.11436507746423
150,151,0.9671052631578947,0.039473684210526314,39.595993120104225,124.00285931127081
151,152,0.9673202614379085,0.0392156862745098,38.92834508972587,123.89135354507734
152,153,0.9675324675324676,0.03896103896103896,39.595993120104225,123.77984777888392
153,154,0.967741935483871,0.03870967741935484,38.92834508972587,123.66834201269045
154,155,0.967948717948718,0.038461538461538464,39.595993120104225,123.55683624649697
155,156,0.9681528662420382,0.03821656050955414,39.63554404074297,123.44533048030355
156,157,0.9683544303797469,0.0379746835443038,39.67509496138171,123.33382471411007
157,158,0.9685534591194969,0.03773584905660377,39.82855345422146,123.22231894791666
158,159,0.9625,0.04375,39.67509496138171,123.11081318172317
159,160,0.9627329192546584,0.043478260869565216,39.82855345422146,122.9993074155297
160,161,0.9629629629629629,0.043209876543209874,39.98201194706121,122.88780164933628
161,162,0.9631901840490797,0.04294478527607362,40.32200098657121,122.0616754698603
162,163,0.9634146341463414,0.042682926829268296,39.98201194706121,121.2355492903848
163,164,0.9636363636363636,0.04242424242424243,40.32200098657121,120.40942311090883
164,165,0.963855421686747,0.04216867469879518,40.66199002608121,119.58329693143286
165,166,0.9640718562874252,0.041916167664670656,40.78527881881945,119.94034304372077
166,167,0.9642857142857143,0.041666666666666664,40.90856761155769,119.35085132259753
167,168,0.9644970414201184,0.04142011834319527,40.96284221944374,118.76135960147464
168,169,0.9647058823529412,0.041176470588235294,41.01711682732979,118.1718678803514
169,170,0.9649122807017544,0.04093567251461988,40.96284221944374,117.58237615922816
170,171,0.9651162790697675,0.040697674418604654,41.01711682732979,116.99288443810526
171,172,0.9653179190751445,0.04046242774566474,41.04222701718082,116.40339271698203
172,173,0.9655172413793104,0.040229885057471264,41.067337207031855,115.81390099585913
173,174,0.9657142857142857,0.04,41.04222701718082,115.22440927473589
174,175,0.9659090909090909,0.03977272727272727,41.01711682732979,114.63491755361265
175,176,0.9661016949152542,0.03954802259887006,40.96284221944374,114.04542583248976
176,177,0.9662921348314607,0.03932584269662921,41.01711682732979,113.45593411136652
177,178,0.9664804469273743,0.03910614525139665,40.96284221944374,112.86644239024362
178,179,0.9666666666666667,0.03888888888888889,40.90856761155769,112.27695066912038
179,180,0.9668508287292817,0.03867403314917127,40.78527881881945,111.68745894799714
180,181,0.967032967032967,0.038461538461538464,40.66199002608121,111.09796722687425
181,182,0.9672131147540983,0.03825136612021858,40.32200098657121,110.8613327685215
182,183,0.967391304347826,0.03804347826086957,40.66199002608121,110.6246983101689
183,184,0.9675675675675676,0.03783783783783784,40.78527881881945,121.11932648596691
184,185,0.967741935483871,0.03763440860215054,40.90856761155769,120.52983476484367
185,186,0.9679144385026738,0.0374331550802139,40.78527881881945,119.94034304372077
186,187,0.9680851063829787,0.03723404255319149,40.90856761155769,119.35085132259753
187,188,0.9682539682539683,0.037037037037037035,40.78527881881945,118.76135960147464
188,189,0.968421052631579,0.03684210526315789,40.90856761155769,118.1718678803514
189,190,0.9685863874345549,0.03664921465968586,40.78527881881945,117.58237615922816
190,191,0.96875,0.036458333333333336,40.66199002608121,116.99288443810526
191,192,0.9689119170984456,0.03626943005181347,40.32200098657121,116.40339271698203
192,193,0.9690721649484536,0.03608247422680412,40.66199002608121,115.81390099585879
193,194,0.9692307692307692,0.035897435897435895,40.32200098657121,115.22440927473589
194,195,0.9693877551020408,0.03571428571428571,40.66199002608121,114.63491755361265
195,196,0.9695431472081218,0.03553299492385787,40.32200098657121,114.04542583248976
196,197,0.9696969696969697,0.03535353535353535,39.98201194706121,113.45593411136652
197,198,0.9698492462311558,0.035175879396984924,40.32200098657121,112.86644239024328
198,199,0.965,0.04,39.98201194706121,112.27695066912038
199,200,0.9651741293532339,0.03980099502487562,39.82855345422146,111.68745894799714
