model,source,rep,X_mean,X_sd,X_q05,X_q50,X_q95,Vhat_mean,Vhat_sd,Vhat_q05,Vhat_q50,Vhat_q95
M2,simulated,13,-0.2375166591738437,0.8537820506440457,-1.3680802780087642,-0.42083365523860583,1.2442719252050616,-0.008654984020094656,6.447859494596609,-8.678841689949662,-0.2510470795406117,9.779993251246985
M2,simulated,14,0.048260683026455746,0.8937208356566262,-1.2660870953739634,0.0473383164553291,1.3700410662143627,-0.010280286490464212,7.5944925897687146,-8.616413370083892,-0.4474616267244977,10.062241911814318
M2,simulated,15,-0.2691062548154905,0.8395199616727381,-1.4083990664549257,-0.4309048259047932,1.25006035003456,-0.0359024486880425,6.740606554881782,-8.703348858247248,-0.3655485663571545,9.675417410304842
M2,simulated,16,0.38198813464337483,0.827301075080519,-1.1488639909747356,0.5402212244622207,1.485060896057329,-0.01997163305659926,6.396274467725859,-8.4038908495045,-0.4253317373523302,9.613693824529392
M2,simulated,17,0.15659153279591634,0.8652650073672689,-1.3546740191085376,0.2310324887918715,1.3651745168019802,-0.009014480961785549,6.216104194769893,-8.139894286166488,-0.31183607857686524,9.300656927192618
M2,simulated,18,-0.2505860643722239,0.8414460941292957,-1.433540372682561,-0.38073156929198615,1.1738827855419467,-0.028771511565667412,6.901706785244187,-9.013685999023188,-0.5280578324538834,9.978196137574878
M2,simulated,19,0.20813925492836544,0.824493815949881,-1.238562156871983,0.27759545712962674,1.3822161045358623,-0.027965212931615496,6.232931709737352,-8.553224743981021,-0.4912352762128702,10.388029088669011
M2,simulated,20,0.10497750166928113,0.8909795211790353,-1.2952125400503596,0.18690312020176167,1.3767309205142673,-0.043978748110027326,6.567754610755032,-8.647014943575817,-0.4900938418748113,10.187981274251824
M2,simulated,21,0.12531350271374916,0.8240021098316377,-1.2141350680506953,0.24456800626659944,1.3170251881250823,-0.02082129032767242,6.255510683370916,-8.454455055726857,-0.42303082436071504,9.812899656074775
M2,simulated,22,0.018185592743336452,0.8069017756576768,-1.2085436782870522,0.08688851175957994,1.2038715492886174,-0.04109187062015409,8.69702998580504,-8.659974285466001,-0.4309277578454257,9.03404941142912
M2,simulated,23,-0.1711458837573413,0.8290185314321731,-1.3342196688986516,-0.30229232158693126,1.18686786765674,-0.04868814673677187,5.945313605262057,-8.0710032827395,-0.5641051201644833,9.268096171284679
M2,simulated,24,0.1629031644160343,0.9032138982289484,-1.2595019152366629,0.3636248802811388,1.3838875493331069,-0.024226977469955554,6.080811265195628,-8.616833699918692,-0.27296758973679447,9.430643620271438
M2,simulated,25,0.12750669612708998,0.8797125772886506,-1.3213546984025493,0.3027283292158447,1.3888383900916688,-0.0035792533859301157,6.726308780028229,-8.715294100334978,-0.25513249822883277,9.78308866675169
M2,simulated,26,-0.2262380494441498,0.8182800216457241,-1.3904652124016883,-0.284734231142845,1.171891767172332,-0.026275022266506947,6.022494049672245,-8.271260972525265,-0.28643346098530253,9.806232999415037
M2,simulated,27,0.22168652241616302,0.8621727244206847,-1.279844482974394,0.42548540067453244,1.3537566010866375,-0.03977028226128466,6.537699836612696,-8.588980125152908,-0.4068600865305305,9.816106024857373
M2,simulated,28,-0.09044422226198578,0.8756218250338756,-1.3535251659636103,-0.09499572066213398,1.275983999426422,-0.005952861582540566,6.694479679599867,-8.985043952118916,-0.1695248101417718,9.683456416531905
