n_valid,rep,contrast,n_exceed,p_upper,cumulative_time_hours
33,32,12.62143975167055,3,0.11764705882352941,0.581767364467778
34,33,0.035066234529949725,3,0.11428571428571428,0.5979367790163891
35,34,40.55630916607697,3,0.1111111111111111,0.613824611736389
36,35,149.0634261920386,4,0.13513513513513514,0.6324040727894445
37,36,2.7239712650771253,4,0.13157894736842105,0.6517568994100001
38,37,16.900822092740782,4,0.1282051282051282,0.6675115461344445
39,38,10.90997892539417,4,0.125,0.6858160371297224
40,39,18.888770209536233,4,0.12195121951219512,0.7028674515855556
41,40,56.56135402164546,5,0.14285714285714285,0.7210168216319445
42,41,29.523570796351123,5,0.13953488372093023,0.7318458042708333
43,42,6.023605251706613,5,0.13636363636363635,0.7501311559722224
44,43,8.214814825250869,5,0.13333333333333333,0.766310255046389
45,44,31.540345779740164,5,0.13043478260869565,0.7828026564005557
46,45,20.285170595359887,5,0.1276595744680851,0.7960100420025
47,46,15.258749415668717,5,0.125,0.8117969376391668
48,47,8.793426434258436,5,0.12244897959183673,0.8297110501969446
49,48,43.24371579656872,5,0.12,0.8444998499191667
50,49,4.243400015449879,5,0.11764705882352941,0.8677003940972223
51,50,29.831858831576028,5,0.11538461538461539,0.885772599918889
52,51,1.6081416642591648,5,0.11320754716981132,0.9082615558102778
53,52,33.91679294396454,5,0.1111111111111111,0.9244101397802778
54,53,39.09751052366482,5,0.10909090909090909,0.9422229453241666
55,54,14.924543859320693,5,0.10714285714285714,0.9640778741205557
56,55,2.8860623659165867,5,0.10526315789473684,0.9837062910186112
57,56,17.446784495838074,5,0.10344827586206896,1.00210541419
58,57,260.59044184763843,6,0.11864406779661017,1.0372696757411113
59,58,56.598586161762796,7,0.13333333333333333,1.061087001238889
60,59,48.602225209959215,7,0.13114754098360656,1.074452926690278
61,60,16.686660425464652,7,0.12903225806451613,1.0901999948269447
62,61,7.095803714651993,7,0.12698412698412698,1.1087372746880557
63,62,12.55224393561366,7,0.125,1.1272048323500001
64,63,21.310734023707482,7,0.12307692307692308,1.1462544039008333
65,64,22.156814112326174,7,0.12121212121212122,1.1646496686577776
66,65,14.787228709970805,7,0.11940298507462686,1.1777072920258331
67,66,13.772598863833991,7,0.11764705882352941,1.2002533813891665
68,67,15.448499555004673,7,0.11594202898550725,1.2161192042711106
69,68,8.584406472633418,7,0.11428571428571428,1.234576719074444
70,69,65.84044323359558,8,0.1267605633802817,1.266537707349722
71,70,23.299435308555985,8,0.125,1.2887392838080554
72,71,45.910552411849494,8,0.1232876712328767,1.3006885868519442
73,72,2.9316117046164436,8,0.12162162162162163,1.3209424665858331
74,73,9.077479259525717,8,0.12,1.3376691520719444
75,74,9.583514683625253,8,0.11842105263157894,1.3551832837386109
76,75,77.19328801330084,9,0.12987012987012986,1.3696664776158332
77,76,8.842743821302065,9,0.1282051282051282,1.3836544822802777
78,77,20.951768946035372,9,0.12658227848101267,1.3994953962502776
79,78,12.591523274577412,9,0.125,1.419587228865833
80,79,9.516725723940908,9,0.12345679012345678,1.4372837537849998
81,80,20.437380601026234,9,0.12195121951219512,1.4635301892247221
82,81,78.58409069192567,10,0.13253012048192772,1.4762891453011109
83,82,10.742463881802905,10,0.13095238095238096,1.4923501775927774
84,83,18.319310406397562,10,0.12941176470588237,1.5067449409261109
85,84,8.013177959946916,10,0.12790697674418605,1.5212689106366664
86,85,73.30594509189359,11,0.13793103448275862,1.5371990105905553
87,86,13.515062601554746,11,0.13636363636363635,1.5494384299422217
88,87,13.631398214980436,11,0.1348314606741573,1.5641287030438884
89,88,29.76365025783889,11,0.13333333333333333,1.5817984368980549
90,89,10.738614077643433,11,0.13186813186813187,1.5983319882522216
91,90,4.610191380583274,11,0.13043478260869565,1.6216331398727768
92,91,2.9390959136180754,11,0.12903225806451613,1.6448732544097213
93,92,51.918512857797396,12,0.13829787234042554,1.6589743429744432
94,93,30.377856821754904,12,0.1368421052631579,1.6738650593169433
95,94,5.330769574655278,12,0.13541666666666666,1.6866896591086098
96,95,11.478918358861847,12,0.13402061855670103,1.7019552440274988
97,96,83.85743138522412,13,0.14285714285714285,1.7165655111802764
98,97,25.819179575242742,13,0.1414141414141414,1.7283554586686098
99,98,9.801531031971535,13,0.14,1.7704367589811099
100,99,33.42536595197089,13,0.13861386138613863,1.7872216003352763
