model,variable,value,observed_density,simulated_q025,simulated_median,simulated_q975
M3,Vhat,31.871239042561882,0.0010986975793256192,0.0,0.00019622740022912398,0.0005905499488875197
M3,Vhat,36.96818301092604,0.0003923919926162904,0.0,0.00015695679704651614,0.0003139135940930323
M3,Vhat,42.0651269792902,7.84783985232585e-05,0.0,7.84783985232585e-05,0.00023543519556977553
M3,Vhat,47.16207094765436,7.847839852325807e-05,0.0,3.9239199261629036e-05,0.00015695679704651614
M3,Vhat,52.259014916018515,0.0,0.0,0.0,0.00011967955774796856
M3,Vhat,57.35595888438267,0.0,0.0,0.0,0.00011967955774796789
M3,Vhat,62.45290285274683,0.0,0.0,0.0,7.84783985232585e-05
M3,Vhat,67.54984682111099,0.0,0.0,0.0,7.847839852325807e-05
M3,Vhat,72.64679078947515,0.0,0.0,0.0,7.84783985232585e-05
M3,Vhat,77.7437347578393,0.0,0.0,0.0,7.847839852325807e-05
M3,Vhat,82.84067872620346,0.0,0.0,0.0,7.84783985232585e-05
M3,Vhat,87.93762269456761,0.0,0.0,0.0,7.84783985232585e-05
M3,Vhat,93.03456666293177,0.0,0.0,0.0,0.0
M3,Vhat,98.13151063129592,0.0,0.0,0.0,7.84783985232585e-05
M3,Vhat,103.22845459966008,0.0,0.0,0.0,0.0
M3,Vhat,108.32539856802424,0.0,0.0,0.0,0.0
M3,Vhat,113.42234253638838,0.0,0.0,0.0,0.0
M3,Vhat,118.51928650475256,0.0,0.0,0.0,0.0
M3,Vhat,123.61623047311673,0.0,0.0,0.0,0.0
M3,Vhat,128.71317444148087,0.0,0.0,0.0,0.0
M3,Vhat,133.81011840984502,0.0,0.0,0.0,0.0
M3,Vhat,138.9070623782092,0.0,0.0,0.0,0.0
M3,Vhat,144.00400634657336,0.0,0.0,0.0,0.0
M3,Vhat,149.1009503149375,0.0,0.0,0.0,0.0
M3,X,-5.807616368439382,0.0,0.0,0.0,0.0
M3,X,-5.616024622549432,0.0,0.0,0.0,0.0
M3,X,-5.424432876659482,0.0,0.0,0.0,0.0
M3,X,-5.232841130769534,0.0,0.0,0.0,0.0
M3,X,-5.041249384879585,0.0,0.0,0.0,0.0
M3,X,-4.849657638989636,0.0,0.0,0.0,0.0
M3,X,-4.658065893099687,0.0,0.0,0.0,0.0
M3,X,-4.466474147209738,0.0,0.0,0.0,0.0
M3,X,-4.274882401319789,0.0,0.0,0.0,0.0
M3,X,-4.08329065542984,0.0,0.0,0.0,0.0
M3,X,-3.891698909539891,0.0,0.0,0.0,0.0
M3,X,-3.7001071636499416,0.0,0.0,0.0,0.0
M3,X,-3.508515417759993,0.0,0.0,0.0,0.0
M3,X,-3.316923671870044,0.0,0.0,0.0,0.0
M3,X,-3.125331925980095,0.0,0.0,0.0,0.0
M3,X,-2.9337401800901457,0.0,0.0,0.0,0.001096080621973251
M3,X,-2.742148434200197,0.0,0.0,0.0,0.002087772613282417
M3,X,-2.5505566883102477,0.0,0.0,0.0,0.0020877726132824217
M3,X,-2.3589649424202985,0.0,0.0,0.0,0.004175545226564834
M3,X,-2.1673731965303498,0.0020877726132824217,0.0,0.0,0.007359398461820519
M3,X,-1.9757814506404008,0.006263317839847251,0.0,0.004175545226564834,0.02087772613282417
M3,X,-1.7841897047504518,0.006263317839847265,0.0009916919913091505,0.016702180906259374,0.04603538612287736
M3,X,-1.592597958860503,0.03549213442580117,0.01659779227559525,0.07202815515824354,0.13471352787204824
M3,X,-1.4010062129705538,0.21712835178137085,0.07155840632025467,0.2098211476348824,0.3383235519824148
M3,X,-1.2094144670806046,0.5115042902541933,0.17944405611162415,0.3517896853380881,0.5642205487395743
M3,X,-1.0178227211906559,0.5762252412659483,0.22438336161252825,0.4426077940158734,0.6650077716457833
M3,X,-0.8262309753007067,0.46139774753541307,0.20924701016622976,0.42590561310961206,0.6893825169058523
M3,X,-0.6346392294107575,0.37788684300411834,0.20903823290490248,0.37371129777755346,0.6691833168723481
M3,X,-0.4430474835208087,0.32986807289862263,0.2052802422009941,0.3549213442580117,0.5462135099500135
M3,X,-0.25145573763085993,0.1941628530352652,0.1961462370178835,0.3089903467657984,0.4565436762095334
M3,X,-0.05986399174091073,0.09603754021099095,0.16044532533075334,0.2995953700060261,0.44469556662915377
M3,X,0.13172775414903848,0.08142313191801444,0.1617501832140556,0.2902003932462566,0.4324820968414535
M3,X,0.32331950003898724,0.10021308543755623,0.17307634964111276,0.29541982477946266,0.4678698426365906
M3,X,0.5149112459289364,0.21504057916808844,0.17427681889374932,0.3173414372189266,0.5284674427371101
M3,X,0.7065029918188857,0.3089903467657984,0.14066367981990316,0.326736413978699,0.5286762199984407
M3,X,0.8980947377088344,0.3590968894845765,0.15783560956415107,0.33091195920526384,0.5564435957550974
M3,X,1.0896864835987832,0.44678333924243824,0.08340651590063275,0.2745420986466385,0.5460047326886852
M3,X,1.2812782294887324,0.45722220230884825,0.07505542544750271,0.20460171610167638,0.4199554611617571
M3,X,1.4728699753786816,0.346570253804882,0.02594057472003409,0.10856417589068593,0.21624104842072675
M3,X,1.6644617212686303,0.08977422237114413,0.007150621200492295,0.04593099749221328,0.09723800946362873
M3,X,1.8560534671585796,0.0,0.0,0.014614408292976885,0.03757990703908341
M3,X,2.0476452130485288,0.0,0.0,0.006263317839847265,0.015710488914950207
M3,X,2.239236958938478,0.0,0.0,0.002087772613282412,0.007359398461820485
M3,X,2.4308287048284267,0.0,0.0,0.0,0.006263317839847294
M3,X,2.6224204507183755,0.0,0.0,0.0,0.004175545226564824
M3,X,2.8140121966083242,0.0,0.0,0.0,0.0041755452265648625
M3,X,3.005603942498273,0.0,0.0,0.0,0.002087772613282412
M3,X,3.1971956883882227,0.0,0.0,0.0,0.002087772613282412
M3,X,3.3887874342781714,0.0,0.0,0.0,0.0020877726132824312
M3,X,3.58037918016812,0.0,0.0,0.0,0.002087772613282412
M3,X,3.77197092605807,0.0,0.0,0.0,0.0
M3,X,3.9635626719480186,0.0,0.0,0.0,0.0
M3,X,4.155154417837967,0.0,0.0,0.0,0.0
M3,X,4.346746163727917,0.0,0.0,0.0,0.0
M3,X,4.538337909617866,0.0,0.0,0.0,0.0
M3,X,4.7299296555078145,0.0,0.0,0.0,0.0
M3,X,4.921521401397764,0.0,0.0,0.0,0.0
M3,X,5.113113147287713,0.0,0.0,0.0,0.0
M3,X,5.304704893177662,0.0,0.0,0.0,0.0
M3,X,5.4962966390676105,0.0,0.0,0.0,0.0
M4,Vhat,-151.61874381854778,0.0,0.0,0.0,0.0
M4,Vhat,-146.52179985018364,0.0,0.0,0.0,0.0
M4,Vhat,-141.42485588181947,0.0,0.0,0.0,0.0
M4,Vhat,-136.3279119134553,0.0,0.0,0.0,0.0
M4,Vhat,-131.23096794509115,0.0,0.0,0.0,0.0
M4,Vhat,-126.134023976727,0.0,0.0,0.0,0.0
M4,Vhat,-121.03708000836284,0.0,0.0,0.0,0.0
M4,Vhat,-115.94013603999868,0.0,0.0,0.0,4.121764628322311e-05
M4,Vhat,-110.84319207163452,0.0,0.0,0.0,4.1201159224710044e-05
M4,Vhat,-105.74624810327036,0.0,0.0,0.0,0.0
M4,Vhat,-100.6493041349062,0.0,0.0,0.0,7.84783985232585e-05
M4,Vhat,-95.55236016654206,0.0,0.0,0.0,0.0
M4,Vhat,-90.45541619817789,0.0,0.0,0.0,4.1201159224709935e-05
M4,Vhat,-85.35847222981374,0.0,0.0,0.0,0.0
M4,Vhat,-80.26152826144957,0.0,0.0,0.0,7.849488558177158e-05
M4,Vhat,-75.16458429308543,0.0,0.0,0.0,7.847839852325829e-05
M4,Vhat,-70.06764032472125,0.0,0.0,0.0,7.847839852325829e-05
M4,Vhat,-64.97069635635711,0.0,0.0,0.0,7.847839852325829e-05
M4,Vhat,-59.873752387992944,0.0,0.0,0.0,7.847839852325829e-05
M4,Vhat,-54.776808419628786,7.847839852325829e-05,0.0,0.0,7.847839852325829e-05
M4,Vhat,-49.67986445126463,0.0,0.0,0.0,7.854281617774278e-05
M4,Vhat,-44.58292048290047,7.847839852325829e-05,0.0,0.0,0.00011972434417884353
M4,Vhat,-39.48597651453631,0.0,0.0,0.0,0.00015695679704651658
M4,Vhat,-34.38903254617216,7.84783985232585e-05,0.0,7.84783985232585e-05,0.00023543519556977553
M4,Vhat,-29.29208857780801,0.00023543519556977485,0.0,0.00015695679704651658,0.0003923919926162914
M4,Vhat,-24.19514460944385,0.0006278271881860663,3.7277239298547695e-05,0.00031391359409303315,0.0007063055867093246
M4,Vhat,-19.098200641079686,0.0016480463689884195,0.00047087039113954845,0.0008632623837558388,0.001375333934120097
M4,Vhat,-14.001256672715527,0.00525805270105832,0.00211891676012798,0.002904281717898652,0.0037303869823536867
M4,Vhat,-8.90431270435137,0.020482862014570356,0.01232814003779894,0.01424382933197134,0.0164580310840318
M4,Vhat,-3.807368735987211,0.05517031416185073,0.060267486145936376,0.06301815401417658,0.06648774713477101
M4,Vhat,1.2895752323769472,0.06866859870785082,0.07353425941629281,0.07751291637671984,0.08095635395662995
M4,Vhat,6.386519200741105,0.029664834641791718,0.023386562759931038,0.025628315956963268,0.028214946229074514
M4,Vhat,11.48346316910525,0.008240231844942143,0.005601395694597576,0.006827620671523491,0.008359911402690112
M4,Vhat,16.580407137469408,0.002432830354221,0.001528366811240451,0.002354351955697742,0.0032588154986782905
M4,Vhat,21.677351105833566,0.0008632623837558437,0.0005493487896628096,0.0009417407822791021,0.0014126111734186532
M4,Vhat,26.774295074197724,0.001020219180802355,0.00019423403634506373,0.00047087039113954845,0.0009044635429805486
M4,Vhat,31.871239042561882,0.0010986975793256192,0.0,0.00023543519556977553,0.0005121610515390476
M4,Vhat,36.96818301092604,0.0003923919926162904,0.0,0.00015695679704651614,0.0003139135940930323
M4,Vhat,42.0651269792902,7.84783985232585e-05,0.0,7.84783985232585e-05,0.00023543519556977553
M4,Vhat,47.16207094765436,7.847839852325807e-05,0.0,0.0,0.00023543519556977423
M4,Vhat,52.259014916018515,0.0,0.0,0.0,0.0001569897711635436
M4,Vhat,57.35595888438267,0.0,0.0,0.0,0.00011969447461043229
M4,Vhat,62.45290285274683,0.0,0.0,0.0,7.84948855817718e-05
M4,Vhat,67.54984682111099,0.0,0.0,0.0,7.847839852325807e-05
M4,Vhat,72.64679078947515,0.0,0.0,0.0,7.84948855817718e-05
M4,Vhat,77.7437347578393,0.0,0.0,0.0,7.847839852325807e-05
M4,Vhat,82.84067872620346,0.0,0.0,0.0,7.84783985232585e-05
M4,Vhat,87.93762269456761,0.0,0.0,0.0,7.852789931527858e-05
