traj,seed,truth,generating_model,success,error,nll_m3,convergence_m3,m3_eta,m3_a,m3_b,m3_c,m3_d,m3_alpha,m3_beta,m3_gamma,m3_delta,m3_epsilon,m3_zeta,nll_m4,convergence_m4,m4_eta,m4_a,m4_b,m4_c,m4_d,m4_alpha,m4_beta,m4_gamma,m4_delta,m4_epsilon,m4_zeta,contrast,time_sec
23,20260644,M3,M3,True,,6942.015878745949,0,36.28358921591009,-131.23552758650834,38.72882700967705,162.13075004216768,-10.361553851474993,20.926943393257492,-14.873904299113246,1395.3738015792037,0.0,0.0,0.0,6941.665702166847,0,36.35926512080611,-131.4510630184453,39.10050323573527,161.20952632012558,-10.274016427702144,21.019374967891526,-17.982284767362373,1395.7377932244617,1.1168799804826557,9.690432209947359,-4.145130665975599,0.7003531582031428,13.544511208
24,20260645,M3,M3,True,,7014.442472118111,0,38.370294632812374,-141.44522703072556,35.60862356415987,177.573207516308,-4.798406519422959,18.372574086723446,-17.708642260265968,1637.702778334909,0.0,0.0,0.0,7014.414790862301,0,38.37477199709134,-141.32505894739026,35.60160508016409,177.12632939617458,-4.692127479489699,18.42424413441859,-18.90824647146523,1636.5251384407438,0.130277556656999,3.0985580576029874,-1.589978373925588,0.05536251162084227,10.299209541
25,20260646,M3,M3,True,,6851.191162876536,0,36.16460851036896,-129.42792871099087,37.91988921682858,150.43864475760785,-27.227568677335483,14.051422606153078,-12.12229778080641,1514.591494447213,0.0,0.0,0.0,6843.718675982372,0,36.07528917719954,-125.31512397534122,41.61632280711666,150.10666030007067,-27.366550406293236,13.135502552444171,-56.514214043948364,1544.8323977152222,66.1468686440539,-58.95328190729195,126.82036256321172,14.944973788327843,10.491948457999996
26,20260647,M3,M3,True,,7055.46644850251,0,37.63811870403388,-131.299714879344,50.22854741268419,154.47646634470917,-23.143413744544947,15.61231124415371,-37.410539673479,1727.1197835836929,0.0,0.0,0.0,7051.628089079864,0,37.44345982739092,-130.12429248490434,50.589860528373706,149.63936380373588,-22.03890970005458,15.048579082951251,-53.359960702355465,1724.3485092546207,18.07658906033848,32.98648086865376,-58.48250898500019,7.676718845290452,11.560564334000006
27,20260648,M3,M3,True,,7006.514915099305,0,37.680158914259096,-142.20882570330062,27.903580222837554,170.08620832630288,-8.38174087117672,25.680753786169007,-12.97442389584617,1362.2919677093846,0.0,0.0,0.0,7002.323861777046,0,37.39789112639422,-141.86055885226017,27.903449877612413,168.52677739228068,-8.585728853335302,25.482646647652167,-12.500485209631966,1226.496747113586,132.52041042447007,6.178460243864267,46.51268217711554,8.38210664451799,17.051248291
28,20260649,M3,M3,True,,6886.854098185797,0,37.860062493438505,-120.48791345874425,56.102376319898006,136.82653430464904,-34.72919892963551,19.63325119914984,-31.74741236283852,1444.1674023233636,0.0,0.0,0.0,6884.078721712989,0,37.91048884856632,-120.08079124070696,57.000904620910575,138.4762456904124,-34.749485068996364,19.2677485893921,-42.80104984293475,1433.2007462920337,9.7978856549784,-26.153565732087678,-43.08097917924568,5.550752945615386,19.528435791000007
29,20260650,M3,M3,True,,6796.296262642427,0,38.124652393051726,-117.14752393925718,37.00624059811534,142.21945854640794,-6.242356494459614,13.627216502219786,-31.111011361417784,1543.2752185502293,0.0,0.0,0.0,6793.833883858129,0,38.13601194775026,-116.65348919301826,35.83677242366012,142.59635989481436,-5.951439692638878,13.72103203352937,-26.456685097182852,1492.0576018433642,2.084676058515511,-6.564262803593989,93.82116633809288,4.924757568594941,21.364778083000004
30,20260651,M3,M3,True,,6867.186674719651,0,38.96523881429158,-127.64672405092254,36.949585225454726,152.5174148439304,-16.195410760964414,23.52012216277623,-12.309956994139219,1357.427187451405,0.0,0.0,0.0,6866.619763980881,0,38.92398538644569,-127.34234387927472,36.882219484678416,151.4536221542549,-16.28927386675158,23.678392867274454,-11.059088301061333,1352.0496734128271,1.351450738511679,6.798187099636135,34.602999623303404,1.1338214775405504,14.995836083
31,20260652,M3,M3,True,,6899.669908492264,0,39.12983436890081,-135.97056083658876,47.67061056421838,171.1555693798145,-30.698740139020668,22.620805776917155,4.96713020933931,1436.2738016049352,0.0,0.0,0.0,6891.558096198851,0,39.2813018192214,-135.22224769725753,48.83913232177478,172.3835213653457,-30.779925723075095,22.140854406598226,-12.713046627334736,1518.8554641844178,34.008078492239115,-28.239179999800864,183.5493422583982,16.22362458682619,23.226754208000017
32,20260653,M3,M3,True,,7078.487567004911,0,37.33985771348221,-128.26247705157544,49.652039281937974,151.92138284007794,-33.81931932475576,27.911535322721203,-6.176962682675759,1319.6638341492835,0.0,0.0,0.0,7077.400582026987,0,37.26049463339128,-127.77301464682628,50.21099201395062,151.93203377393283,-33.95769531569041,27.606939409275068,-9.752706064698621,1264.9419051818838,56.546496252850226,-9.484271894835775,-34.99607486880751,2.1739699558493157,16.022332500000005
