rep,success,seed,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,convergence,time_sec
85,True,20260688,,M4,asymmetric drift with position-velocity diffusion,66.5560600653052,-67.91259690175792,-13.296873371147315,33.64159910694265,5.201272251593078,42.34535027995695,187.7231594671283,4284.816769103322,220.4973546997023,-193.2566968626216,-428.36766591117333,8117.773295406728,0,3.035433040999976
86,True,20260689,,M4,asymmetric drift with position-velocity diffusion,70.31954225454969,-95.42816210579754,22.963513364638303,73.83451286022328,-7.267548383282867,47.06792808456639,120.21851797165785,4073.59528455897,610.6859040203293,-334.9301597992845,-915.0526691520932,8020.525877377366,0,3.25262883299996
87,True,20260690,,M4,asymmetric drift with position-velocity diffusion,74.60678987288043,-95.11596149364765,13.857549224628324,78.15232054702918,-7.127037130293568,37.822862353585194,144.28805125547922,4882.211251092607,49.75340149914756,-68.43316043902523,-727.8412886013326,7939.49185494935,0,3.129897790999962
88,True,20260691,,M4,asymmetric drift with position-velocity diffusion,70.4594494918376,-156.56026443182702,-20.871858169254843,137.1588068562028,-5.302198976910638,35.19525851581186,207.7533724109745,5498.177981261542,290.383192861588,-202.1891346379468,-596.7490559419902,8305.158236178617,0,2.9127026249999517
89,True,20260692,,M4,asymmetric drift with position-velocity diffusion,72.95236651331199,-95.4229065043759,28.12943529418945,92.27193278077095,-19.930754624412,47.17431472448936,-22.19811455752453,4681.143493458041,485.87855059240576,-302.78483563450527,48.32491943081901,8207.649025972147,0,3.168599874999984
90,True,20260693,,M4,asymmetric drift with position-velocity diffusion,70.74631997880417,-83.662477527591,-4.764730820834594,78.73390408074526,5.327563700744345,23.154869612647214,35.658838843124066,6143.381060737272,170.37531509715294,-94.08380305514528,-1426.7313193068285,8182.93612784978,0,3.996667082999977
91,True,20260694,,M4,asymmetric drift with position-velocity diffusion,68.58196249201703,-96.90771868929744,-13.651281096665576,94.65632841585072,9.503146565947445,42.13202533177133,157.65921584523466,4053.6441026502152,324.0100995748556,-233.67671448424264,-437.2123969446926,7993.396775660845,0,3.528377834000026
92,True,20260695,,M4,asymmetric drift with position-velocity diffusion,65.6607974696542,-90.37555270249584,14.940903155481877,79.368074763822,-34.34791261230222,52.70816374105933,75.83594172743318,3586.9247001565464,492.74301744119725,-319.5085919559844,-578.5676580626233,8224.829957432932,0,3.473324290999983
93,True,20260696,,M4,asymmetric drift with position-velocity diffusion,69.49201873914086,-125.89017781345486,18.22405083199202,126.01110196203176,-15.701296551121263,69.8871463529352,72.60912193281192,3143.1278467943675,282.0908134541161,-278.1515332246885,-402.5647581702211,8152.799740687944,0,3.4292438749999974
94,True,20260697,,M4,asymmetric drift with position-velocity diffusion,68.6530261990628,-107.8673082864337,19.77237200425782,100.02191573688656,-17.5402369086044,56.72942276323419,29.950134195291707,3236.9620744384415,904.4029687967208,-453.01769663090766,-119.5846894438254,8088.801599071475,0,2.6131509580000056
95,True,20260698,,M4,asymmetric drift with position-velocity diffusion,74.53058138322054,-100.01218590690011,19.323502612940196,98.44667394395567,2.700714330746119,45.31119919913262,108.07177038433612,4392.729743653224,97.46540460373492,-132.44444072302267,-266.59112519675057,7904.130945649884,0,3.903491416999998
96,True,20260699,,M4,asymmetric drift with position-velocity diffusion,74.54174774513278,-70.35827600814717,48.846484025989746,45.72402377824975,-32.90466297128643,50.49635109067531,-96.74287715988378,4115.107085300214,578.9940962605352,-325.81515306103853,-620.4397668939964,8027.776325535822,0,2.7443267500000275
97,True,20260700,,M4,asymmetric drift with position-velocity diffusion,70.01937237701115,-104.06374426753226,23.789826895623907,101.2079329007828,-17.09018173914973,59.574698381596235,-41.30832147315592,3513.5955213031552,924.9544526565118,-465.8768917143036,-284.1302095864999,8238.177548974683,0,3.642845125000008
98,True,20260701,,M4,asymmetric drift with position-velocity diffusion,63.86685474924953,-88.18825948764321,1.9216434715955968,65.84018766316865,-12.23034502251862,46.84336608477125,250.79813416931023,4029.4884828108,284.6839317706116,-230.95933524655632,-618.2750642214382,8228.22556488527,0,2.9186932090000255
99,True,20260702,,M4,asymmetric drift with position-velocity diffusion,75.13465806828258,-59.27280752594923,-4.807736856859859,20.34769389457399,-21.517469994408096,59.33138568804496,125.32851557592008,4325.6944686907855,165.53424514845432,-198.2057127681473,-209.3396898777003,8187.194954041269,0,3.0931298749999883
100,True,20260703,,M4,asymmetric drift with position-velocity diffusion,68.10651122633918,-70.19353569102104,13.51304638196834,38.93343725762793,-18.099883978938923,38.37543949478105,113.99651699581108,4612.468487877617,300.15203951935445,-214.64823718642663,-318.81265388336635,8147.245547140905,0,2.756534166999984
101,True,20260704,,M4,asymmetric drift with position-velocity diffusion,69.95405333625624,-74.93461323196935,18.197550002448335,61.635276858899445,-19.56285119946519,44.03915216523377,223.6033199541327,4255.866187566019,747.9172803375496,-361.55510591656866,-1222.4436663616602,8175.782685381054,0,3.8603864579999936
102,True,20260705,,M4,asymmetric drift with position-velocity diffusion,67.32884559720924,-66.41129397223482,13.080728188663857,36.15948104447661,-25.409044657162433,37.60903035782437,105.04568765514358,4302.6539956590195,717.1289959775521,-326.17419969486315,-865.1983390120723,8172.661583592631,0,2.8565540420000275
103,True,20260706,,M4,asymmetric drift with position-velocity diffusion,72.8251240856721,-52.69893466652968,-2.5784682753050583,19.901256377344545,7.089859864737087,62.1940671759566,37.89531550779635,4325.864137139153,253.3026294154767,-245.9804137709624,-492.4325654782166,8290.310598602422,0,3.664387041999987
104,True,20260707,,M4,asymmetric drift with position-velocity diffusion,71.62542254579749,-83.90010057618544,20.990255426472853,72.66757212099827,-17.417337274651324,70.10291014327886,111.30139433249876,3453.3108879561228,23.267968594446863,-73.92092645976598,-285.75670234709645,8148.831075985565,0,3.1056404159999715
105,True,20260708,,M4,asymmetric drift with position-velocity diffusion,72.25434722262848,-101.20941205803472,29.499722762192885,70.50302045947585,0.692365358312666,37.212328422075075,253.54900031697832,5557.440564120847,583.0410696344351,-272.71350606235865,-2236.6265715314375,8046.062581985703,0,3.856226166999989
106,True,20260709,,M4,asymmetric drift with position-velocity diffusion,70.27925383817134,-92.10117374755016,5.740515905156994,57.0839041054607,-26.34566679382887,42.59327340046477,-32.27334923330657,4136.231274424764,684.8844421278259,-336.78440612576026,-434.8295747962449,8081.664407613898,0,2.913155916999983
107,True,20260710,,M4,asymmetric drift with position-velocity diffusion,79.19132359925563,-57.96751764925558,13.063914188411683,46.91645431673672,-11.88196527143667,52.76384504635918,-2.623397427183938,4237.929246337762,427.19202421951235,-294.3803323256397,-522.9889381490036,7961.85097531471,0,2.1598716670000044
108,True,20260711,,M4,asymmetric drift with position-velocity diffusion,74.16494116067025,-76.46787145936753,-10.860500755764097,69.08987875687032,3.333413430966216,60.76421438092718,35.1357005418247,4185.794399555986,182.44580051689667,-210.58182006534736,-60.882378261199726,8182.697092549516,0,3.591428791999988
109,True,20260712,,M4,asymmetric drift with position-velocity diffusion,67.96867990843926,-105.17806517166918,1.5555701957258334,57.94887473618987,19.11182632977439,21.85731100909114,201.45188543116413,5205.545427838535,1210.3425231989306,-325.29883465568787,-1499.08796060714,8031.882732359973,0,2.8211882080000237
110,True,20260713,,M4,asymmetric drift with position-velocity diffusion,70.66381280157076,-79.8184040155058,35.93930098823473,73.29462117779546,-34.58090046066863,50.26686267361,-87.6458536666923,3765.799475331374,951.440805142454,-428.5936077624787,-377.6313210441359,8151.827640260092,0,3.273515040999996
111,True,20260714,,M4,asymmetric drift with position-velocity diffusion,75.22730359958999,-88.49841140699098,-8.875629566095414,70.87992290607274,9.489486013112325,57.82243582067518,38.27744620657948,4042.091243415591,729.827622784445,-410.8547718043908,-135.98935433325255,8135.4146103225885,0,3.615027540999961
112,True,20260715,,M4,asymmetric drift with position-velocity diffusion,68.92577921400398,-71.01889305158745,27.14500245381067,39.54078374997561,-13.024509463601715,58.5375787446609,77.8028556890194,3425.7465027597705,38.60396113901384,-95.0743375476443,-63.182105602746425,7988.387011767567,0,3.1722447910000255
113,False,20260716,,M4,asymmetric drift with position-velocity diffusion,72.39853137226757,-0.9160858811452508,-112.93973177374032,43.814166030496786,-0.4991013573800449,46.57604118427899,840.8483452589926,7448.712791866515,2280.1255210586723,-651.7644365080204,-5883.229166773939,8177.675698825035,1,7.042741375000002
