k,age_ka,X,Vhat,q_observed_fit,q_boot_q025,q_boot_q50,q_boot_q975,q_ratio_q025,q_ratio_q50,q_ratio_q975
1894,42.12,-1.0177182351632732,-6.096192929475919,4377.300616061629,3382.4064979587015,4377.300616061654,6577.8319959062665,0.772715149045884,1.0000000000000058,1.502714246257209
1895,42.1,-1.1396420937527916,-3.4461421533527936,4010.5588987397414,3130.958214432093,4305.700640015926,6428.740535375216,0.780678776570505,1.073591174878127,1.602953777189347
1896,42.08,-1.2085649368198474,6.923355631654093,11578.279239101927,8195.051454760569,10730.755641076097,16619.39203214878,0.7077952850786678,0.9268005564105251,1.4353939552625499
1897,42.06,-1.0700978241867656,7.866134369489419,12545.19750054055,8615.004163506866,11377.778353597645,16913.09608223214,0.6867173006352162,0.9069429439518508,1.3481729627216619
1898,42.04,-0.9127751367969772,-2.5216777103421073,4042.2377563826794,3116.703080447698,4260.16211776329,6147.451111637141,0.7710340826752298,1.0539118118513708,1.52080394131452
1899,42.02,-0.9632086910038193,-8.459288703900913,5530.996632467777,3771.816508735848,5189.720474674584,7892.486159011571,0.6819415666599254,0.9382975292753115,1.4269555169644286
1900,42.0,-1.1323944650818376,-6.036291870892896,4300.9231654367795,3357.6946030832937,4316.018871050519,6616.115805698345,0.7806916036228012,1.003509875678564,1.5383013253682354
1901,41.98,-1.2531203024996955,7.956580591208784,13209.982617961661,9121.889480715963,12139.824362207677,18657.98908761412,0.6905300138936517,0.9189886704090824,1.4124158696654745
1902,41.96,-1.0939886906755198,4.430384644113339,8280.105363953926,6072.1903983827815,7858.4383591230635,12298.995485840765,0.7333469963820824,0.9490746812635356,1.4853670267750958
1903,41.94,-1.005380997793253,-13.324936232753926,9980.22232763216,4800.223363157389,8316.009158410236,13910.156976349099,0.4809735901240446,0.8332488881921767,1.393772254735865
1904,41.92,-1.2718797224483316,1.2561084578267323,5840.199740372419,4370.305986584586,5964.6018434604775,10107.367527562588,0.7483144722556869,1.0213010014414552,1.7306544256854577
1905,41.9,-1.246757553291797,16.4362361619812,30710.209794755305,17933.907468807254,26612.495118530984,38987.728912077946,0.5839721574246625,0.8665683268329827,1.2695363910778714
1906,41.88,-0.918032830052173,0.20983134835335093,4839.135161988872,3728.6182491027307,4961.466146597125,7539.305578623996,0.7705133508960056,1.0252795139034667,1.5579861537749156
1907,41.86,-0.9138362030851059,-25.605053560670175,35181.14075272837,14404.42746830599,27546.98842226772,48029.18089863401,0.4094360546620108,0.7830044118205972,1.365196803486517
1908,41.84,-1.4259372742985095,-3.9496840818356027,4025.9110682060395,3174.3408542851853,4389.703533314629,7052.046934033124,0.7884776390998828,1.0903627673203165,1.7516648566148136
1909,41.82,-1.5049309559352215,18.872094573196563,38883.273552454986,22359.750961920636,33727.71335228896,49907.80964412535,0.575048058434599,0.8674093066467005,1.283529010920283
1910,41.8,-1.1274890644712903,2.572515227072758,6614.547764654494,5027.229361574779,6532.69266387413,10695.023198123856,0.7600261636083858,0.9876249890857596,1.616894091425841
1911,41.78,-1.076038759929835,-2.3030286708962677,4128.951974316407,3185.201369690274,4395.826836160795,6594.192916186249,0.7714309562095641,1.064635012348036,1.5970621497185105
1912,41.76,-1.1220993333477605,1.4131678197696118,5747.831415073071,4349.134615914581,5788.6880979661355,9471.380184165384,0.7566566069612694,1.0071081908884665,1.6478180204324895
1913,41.74,-1.0938359769523682,4.1258048537416325,7968.023193442258,5848.513344799196,7590.257079185891,11995.908133351686,0.7339980322362221,0.952589732097257,1.5055061766417053
