model,source,rep,barrier,lower_occupancy,upper_occupancy,n_switches,lower_wait_mean,upper_wait_mean,lower_wait_median,upper_wait_median
M2,simulated,51,0.139189375631117,0.4652,0.5348,49,930.4,1069.6,220.0,280.0
M2,simulated,52,0.139189375631117,0.6384,0.3616,65,967.2727272727273,547.8787878787879,140.0,200.0
M2,simulated,53,0.139189375631117,0.4156,0.5844,77,532.8205128205128,749.2307692307693,240.0,200.0
M2,simulated,54,0.139189375631117,0.4884,0.5116,58,842.0689655172414,852.6666666666666,520.0,170.0
M2,simulated,55,0.139189375631117,0.5076,0.4924,36,1410.0,1295.7894736842106,750.0,560.0
M2,simulated,56,0.139189375631117,0.6008,0.3992,59,1001.3333333333334,665.3333333333334,180.0,300.0
M2,simulated,57,0.139189375631117,0.6836,0.3164,60,1139.3333333333333,510.3225806451613,240.0,180.0
M2,simulated,58,0.139189375631117,0.6004,0.3996,73,811.3513513513514,540.0,160.0,200.0
M2,simulated,59,0.139189375631117,0.7868,0.2132,41,1873.3333333333333,507.6190476190476,240.0,280.0
M2,simulated,60,0.139189375631117,0.5252,0.4748,60,875.3333333333334,765.8064516129032,150.0,300.0
M2,simulated,61,0.139189375631117,0.6036,0.3964,60,1006.0,639.3548387096774,280.0,200.0
M2,simulated,62,0.139189375631117,0.5104,0.4896,88,580.0,544.0,150.0,220.0
M2,simulated,63,0.139189375631117,0.6668,0.3332,71,926.1111111111111,462.77777777777777,420.0,140.0
M2,simulated,64,0.139189375631117,0.506,0.494,62,816.1290322580645,771.875,180.0,220.0
M2,simulated,65,0.139189375631117,0.56,0.44,71,777.7777777777778,611.1111111111111,180.0,150.0
M2,simulated,66,0.139189375631117,0.602,0.398,42,1433.3333333333333,904.5454545454545,380.0,150.0
M2,simulated,67,0.139189375631117,0.384,0.616,79,480.0,770.0,70.0,180.0
M2,simulated,68,0.139189375631117,0.4476,0.5524,65,678.1818181818181,836.969696969697,140.0,300.0
M2,simulated,69,0.139189375631117,0.4572,0.5428,61,737.4193548387096,875.483870967742,160.0,360.0
M2,simulated,70,0.139189375631117,0.4888,0.5112,76,643.1578947368421,655.3846153846154,210.0,200.0
M2,simulated,71,0.139189375631117,0.6436,0.3564,67,946.4705882352941,524.1176470588235,140.0,280.0
M2,simulated,72,0.139189375631117,0.5612,0.4388,73,758.3783783783783,592.972972972973,100.0,100.0
M2,simulated,73,0.139189375631117,0.5076,0.4924,72,705.0,665.4054054054054,180.0,80.0
M2,simulated,74,0.139189375631117,0.5264,0.4736,46,1144.3478260869565,986.6666666666666,120.0,480.0
M2,simulated,75,0.139189375631117,0.668,0.332,53,1237.037037037037,614.8148148148148,340.0,240.0
M2,simulated,76,0.139189375631117,0.5948,0.4052,60,991.3333333333334,653.5483870967741,300.0,180.0
M2,simulated,77,0.139189375631117,0.6124,0.3876,72,850.5555555555555,523.7837837837837,100.0,220.0
M2,simulated,78,0.139189375631117,0.3684,0.6316,53,682.2222222222222,1169.6296296296296,80.0,160.0
M2,simulated,79,0.139189375631117,0.5568,0.4432,65,843.6363636363636,671.5151515151515,220.0,180.0
M2,simulated,80,0.139189375631117,0.5828,0.4172,62,940.0,651.875,220.0,110.0
M2,simulated,81,0.139189375631117,0.5476,0.4524,58,944.1379310344828,754.0,200.0,220.0
M2,simulated,82,0.139189375631117,0.6888,0.3112,71,956.6666666666666,432.22222222222223,210.0,160.0
M2,simulated,83,0.139189375631117,0.5576,0.4424,70,796.5714285714286,614.4444444444445,180.0,250.0
M2,simulated,84,0.139189375631117,0.576,0.424,60,960.0,683.8709677419355,150.0,180.0
M2,simulated,85,0.139189375631117,0.6672,0.3328,65,1010.9090909090909,504.24242424242425,260.0,160.0
M2,simulated,86,0.139189375631117,0.4228,0.5772,65,640.6060606060606,874.5454545454545,200.0,220.0
M2,simulated,87,0.139189375631117,0.5944,0.4056,53,1100.7407407407406,751.1111111111111,340.0,140.0
M2,simulated,88,0.139189375631117,0.3544,0.6456,70,506.2857142857143,896.6666666666666,80.0,180.0
M2,simulated,89,0.139189375631117,0.6272,0.3728,67,922.3529411764706,548.2352941176471,150.0,240.0
M2,simulated,90,0.139189375631117,0.564,0.436,81,687.8048780487804,531.7073170731708,120.0,80.0
M2,simulated,91,0.139189375631117,0.5384,0.4616,59,897.3333333333334,769.3333333333334,170.0,120.0
M2,simulated,92,0.139189375631117,0.3592,0.6408,72,498.8888888888889,865.9459459459459,130.0,200.0
M2,simulated,93,0.139189375631117,0.6656,0.3344,67,978.8235294117648,491.7647058823529,270.0,230.0
M2,simulated,94,0.139189375631117,0.4712,0.5288,78,604.1025641025641,661.0,100.0,190.0
M2,simulated,95,0.139189375631117,0.5512,0.4488,71,765.5555555555555,623.3333333333334,370.0,170.0
M2,simulated,96,0.139189375631117,0.3556,0.6444,81,433.6585365853659,785.8536585365854,80.0,540.0
M2,simulated,97,0.139189375631117,0.4756,0.5244,78,609.7435897435897,655.5,100.0,150.0
M2,simulated,98,0.139189375631117,0.5588,0.4412,85,649.7674418604652,513.0232558139535,120.0,100.0
M2,simulated,99,0.139189375631117,0.612,0.388,51,1176.923076923077,746.1538461538462,430.0,390.0
M3,observed,-1,0.139189375631117,0.5476,0.4524,45,1190.4347826086957,983.4782608695652,800.0,520.0
M3,simulated,0,0.139189375631117,0.4884,0.5116,69,697.7142857142857,730.8571428571429,140.0,220.0
M3,simulated,1,0.139189375631117,0.64,0.36,57,1103.448275862069,620.6896551724138,240.0,140.0
M3,simulated,2,0.139189375631117,0.6688,0.3312,69,955.4285714285714,473.14285714285717,220.0,100.0
M3,simulated,3,0.139189375631117,0.5996,0.4004,70,856.5714285714286,556.1111111111111,120.0,190.0
M3,simulated,4,0.139189375631117,0.766,0.234,43,1740.909090909091,531.8181818181819,520.0,100.0
M3,simulated,5,0.139189375631117,0.7404,0.2596,31,2313.75,811.25,740.0,300.0
M3,simulated,6,0.139189375631117,0.6556,0.3444,63,1024.375,538.125,410.0,80.0
M3,simulated,7,0.139189375631117,0.6528,0.3472,75,858.9473684210526,456.8421052631579,220.0,130.0
M3,simulated,8,0.139189375631117,0.548,0.452,39,1370.0,1130.0,140.0,510.0
M3,simulated,9,0.139189375631117,0.5552,0.4448,71,771.1111111111111,617.7777777777778,190.0,300.0
M3,simulated,10,0.139189375631117,0.7008,0.2992,88,796.3636363636364,332.44444444444446,130.0,60.0
M3,simulated,11,0.139189375631117,0.8016,0.1984,41,1908.5714285714287,472.3809523809524,140.0,160.0
M3,simulated,12,0.139189375631117,0.66,0.34,64,1031.25,515.1515151515151,280.0,180.0
M3,simulated,13,0.139189375631117,0.6476,0.3524,59,1079.3333333333333,587.3333333333334,290.0,120.0
M3,simulated,14,0.139189375631117,0.574,0.426,71,797.2222222222222,591.6666666666666,370.0,230.0
M3,simulated,15,0.139189375631117,0.5864,0.4136,55,1047.142857142857,738.5714285714286,170.0,150.0
M3,simulated,16,0.139189375631117,0.4552,0.5448,80,569.0,664.390243902439,150.0,360.0
M3,simulated,17,0.139189375631117,0.8396,0.1604,53,1554.8148148148148,297.037037037037,160.0,140.0
M3,simulated,18,0.139189375631117,0.5948,0.4052,47,1239.1666666666667,844.1666666666666,180.0,540.0
M3,simulated,19,0.139189375631117,0.696,0.304,43,1581.8181818181818,690.9090909090909,550.0,150.0
M3,simulated,20,0.139189375631117,0.2736,0.7264,80,342.0,885.8536585365854,100.0,400.0
