model,source,rep,event,barrier,regime,waiting_time_years
M2,simulated,2,28,0.139189375631117,lower,120.0
M2,simulated,2,29,0.139189375631117,lower,3840.0
M2,simulated,2,30,0.139189375631117,lower,2600.0
M2,simulated,2,31,0.139189375631117,lower,3900.0
M2,simulated,2,0,0.139189375631117,upper,2820.0
M2,simulated,2,1,0.139189375631117,upper,100.0
M2,simulated,2,2,0.139189375631117,upper,1200.0
M2,simulated,2,3,0.139189375631117,upper,60.0
M2,simulated,2,4,0.139189375631117,upper,300.0
M2,simulated,2,5,0.139189375631117,upper,160.0
M2,simulated,2,6,0.139189375631117,upper,440.0
M2,simulated,2,7,0.139189375631117,upper,1340.0
M2,simulated,2,8,0.139189375631117,upper,2040.0
M2,simulated,2,9,0.139189375631117,upper,2320.0
M2,simulated,2,10,0.139189375631117,upper,100.0
M2,simulated,2,11,0.139189375631117,upper,80.0
M2,simulated,2,12,0.139189375631117,upper,1540.0
M2,simulated,2,13,0.139189375631117,upper,120.0
M2,simulated,2,14,0.139189375631117,upper,1620.0
M2,simulated,2,15,0.139189375631117,upper,2480.0
M2,simulated,2,16,0.139189375631117,upper,180.0
M2,simulated,2,17,0.139189375631117,upper,120.0
M2,simulated,2,18,0.139189375631117,upper,580.0
M2,simulated,2,19,0.139189375631117,upper,720.0
M2,simulated,2,20,0.139189375631117,upper,120.0
M2,simulated,2,21,0.139189375631117,upper,200.0
M2,simulated,2,22,0.139189375631117,upper,40.0
M2,simulated,2,23,0.139189375631117,upper,320.0
M2,simulated,2,24,0.139189375631117,upper,1060.0
M2,simulated,2,25,0.139189375631117,upper,80.0
M2,simulated,2,26,0.139189375631117,upper,2760.0000000000005
M2,simulated,2,27,0.139189375631117,upper,40.0
M2,simulated,2,28,0.139189375631117,upper,20.0
M2,simulated,2,29,0.139189375631117,upper,120.0
M2,simulated,2,30,0.139189375631117,upper,3180.0
M2,simulated,2,31,0.139189375631117,upper,240.0
M2,simulated,3,0,0.139189375631117,lower,2900.0
M2,simulated,3,1,0.139189375631117,lower,60.0
M2,simulated,3,2,0.139189375631117,lower,20.0
M2,simulated,3,3,0.139189375631117,lower,340.0
M2,simulated,3,4,0.139189375631117,lower,40.0
M2,simulated,3,5,0.139189375631117,lower,280.0
M2,simulated,3,6,0.139189375631117,lower,280.0
M2,simulated,3,7,0.139189375631117,lower,240.0
M2,simulated,3,8,0.139189375631117,lower,300.0
