traj,seed,observation,success,convergence,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_path_rmse,q_path_relative_rmse,q_path_min,time_sec
15,20260636,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,41.27420694721685,-115.2489530542397,24.083003115533824,142.72308040045633,7.147895027497947,25.177185139377094,35.384782345244936,1432.095800512432,0.8655159317987946,-7.249267831734829,-4.880079322422122,6882.863725508972,548.6552182646506,0.2872539759677402,1419.6390541408548,26.651036833999967
16,20260637,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,29.274482170825372,-76.48367528312315,8.09344079221515,88.50662989781898,14.769843688136746,21.315731671357316,-10.78654280174137,1193.0922493882956,3.920713472723388,-3.061927548828806,43.93913282868403,-4343.761009427895,125.53869051145972,0.0654195640535954,1137.0381649046026,6.059243917000003
16,20260637,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,34.97663084080864,-104.4068342528696,16.161597262064376,127.2114444604596,10.637201818506856,19.883681222716504,-39.17849300758276,1253.8035907449866,10.201130330172049,-27.874404162701374,36.534476465756896,6835.5939050808365,297.229061532393,0.1548892660126437,1222.715046105869,34.41803050000004
17,20260638,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,24.55231041955903,-84.16107327698977,5.832859348214619,93.3351573117086,-0.7051076256253795,20.277456470054165,21.71379438202613,1224.4959592687692,10.957461758269222,2.4244184817012213,-28.976696222296056,-3889.7755686018586,186.54395201100957,0.0931742241921508,1197.8697383835731,8.021399292000012
17,20260638,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,37.46961792454081,-118.0425193337596,31.37503319362969,127.07157519259827,-27.82890202882008,24.65099427482606,2.7775062690943635,1417.6826419579886,3.740245501732793,18.78250346794242,31.41105055578223,7044.9899636666505,589.6283429465075,0.2945051974266198,1369.935439405105,37.49121112500006
18,20260639,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,30.149954700448077,-96.47505116003762,39.42800718902043,104.4670004126628,-14.259673976373875,16.751070534725947,17.52075934605192,1344.3864804805105,0.0638938555183749,0.7450018607828222,0.4049022856323682,-4300.615719418771,254.65364168703377,0.1348039411837844,1339.8045506920778,4.528209791999984
18,20260639,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,38.06778579636451,-123.58036836530056,52.553078555897514,137.8421417396654,-22.99831355377935,20.164077264260868,-3.428089426245617,1504.606340273819,6.198786096233199,-20.658074439031715,-72.15371917915226,6950.597814600496,250.46197917550188,0.132585034660699,1386.2950091388568,32.224862209000094
19,20260640,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,30.491659435193142,-88.39343641361607,32.98996872855713,105.61771255742816,-15.959987575414145,20.348439825416623,21.632628933686373,1325.5734148023398,1.721182662171434,-7.214558886585188,71.73266898967114,-3989.7386105328014,185.1800129032014,0.0971609642717439,1209.6624169057195,5.358214582999949
19,20260640,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,37.894655524248584,-135.07346148282338,45.823230958853216,166.14557870777264,-24.862856066365552,17.241040742038237,15.494036270421898,1500.1091933264554,77.64563298592088,1.5091409703966303,-25.996269473454863,6947.724335339126,308.80131134679755,0.1620230645221818,1494.6842829287762,24.43191658400008
20,20260641,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,26.50802789047336,-77.71440448480773,21.312083116106372,88.0203633846604,-3.2408465548544525,16.477538323531498,12.90566851468842,1319.2848442710938,5.245185040115159,-16.693061591678557,66.6626330782099,-4140.085489784802,315.8042015094151,0.1645966707967379,1193.4274692533006,1267.171531584
