transition,age_ka,x,vhat,nll_m3,nll_m4,gain_m4_over_m3,cumulative_gain,q_m3,q_m4,log10_q_ratio
2067,38.66,-0.6477092231211037,-7.164346527189691,2.6324362854338035,2.5915116325918093,0.0409246528419942,23.21287506613181,6043.62000631947,5111.359211491004,-0.0727607471992567
2068,38.64,-0.7909961536648975,-2.7971239833886496,2.8622986082621082,2.8598408735738827,0.0024577346882255213,23.215332800820036,4235.926394599034,3993.9408123351286,-0.025546780386665895
2069,38.62,-0.8469386333326705,-4.058346406355229,2.616432390465597,2.6237805857526326,-0.007348195287035786,23.207984605533,4505.449107921345,4020.9022166277205,-0.049414576678806846
2070,38.6,-0.9281055614597751,-0.4504049980238012,4.968830841703738,4.881796880264373,0.08703396143936537,23.295018566972367,4280.233885967962,4567.774773266406,0.02823718074705293
2071,38.58,-0.9371136614202511,10.372006704143377,4.182336845051606,4.08042785700956,0.10190898804204629,23.396927555014415,13672.005712776667,16182.98535402032,0.07322640990191205
2072,38.56,-0.7296735273373836,12.915512021756648,3.124430441788157,3.140154029735992,-0.015723587947834794,23.38120396706658,18070.795276988767,20251.580574005788,0.049481658399268595
2073,38.54,-0.4713632869022506,-1.2424046930372246,3.5196227518601733,3.5014319800076716,0.01819077185250162,23.39939473891908,4185.90425347557,4086.07921529101,-0.010482508373291117
2074,38.52,-0.4962113807629951,-6.83819734254878,4.123711195711262,4.190592475071312,-0.06688127936004928,23.33251345955903,5823.657068491429,5083.510550668843,-0.059032063961269664
2075,38.5,-0.6329753276139707,-10.40110850095144,3.0119937319718977,3.01763643199596,-0.005642700024062197,23.32687075953497,8969.982024905763,7540.096396355198,-0.07541467461246626
2076,38.48,-0.8409974976329995,1.4404411485444246,3.134110596660698,3.148118854582791,-0.014008257922093037,23.312862501612877,4832.452676079346,5414.314717935819,0.04937588670722932
2077,38.46,-0.812188674662111,5.210147926787334,2.749219812068777,2.796263756652933,-0.04704394458415573,23.26581855702872,7308.950389602543,8527.453174937076,0.06696432926644504
2078,38.44,-0.7079857161263643,2.988778433506978,3.1023151064407264,3.1099208292332077,-0.007605722792481284,23.25821283423624,5627.910943411763,6295.858036950877,0.04870771020995614
2079,38.42,-0.6482101474562247,5.373729160601659,3.9553353505705218,3.881548597754656,0.07378675281586577,23.331999587052106,7457.891134613449,8363.304991437026,0.04976189531671881
2080,38.4,-0.5407355642441916,-6.993869257803631,2.9266991366084776,2.9245742823859073,0.0021248542225702494,23.334124441274675,5926.9352284015295,5123.8055263626275,-0.06323754337220028
2081,38.38,-0.6806129494002642,1.6905399561004675,3.288824837252399,3.28967233615814,-0.0008474989057409843,23.333276942368933,4940.010447938339,5374.757019955953,0.036630968164476564
2082,38.36,-0.6468021502782548,5.850658221875049,2.852004639883862,2.860908704991786,-0.008904065107924186,23.32437287726101,7911.8272885444685,8878.124905143908,0.050044452513885666
2083,38.34,-0.5297889858407538,-1.4616476292845348,2.7021872070511703,2.6931248204911213,0.009062386560048985,23.33343526382106,4174.083777089165,4070.7477966326646,-0.01088696496476767
2084,38.32,-0.5590219384264445,1.4388340427271995,3.144893817748997,3.1472343548690467,-0.0023405371200495573,23.33109472670101,4831.7875989723625,5096.826549398856,0.02319201948362187
2085,38.3,-0.5302452575719006,5.106243929478893,3.3003564312417004,3.294177633922983,0.0061787973187175105,23.33727352401973,7216.13739760548,7854.960692606973,0.03683922238622678
2086,38.28,-0.4281203789823227,7.018865298594568,3.2191226146001055,3.212654380811936,0.006468233788169631,23.343741757807898,9147.604342545514,9745.378293091806,0.027491330104497266
2087,38.26,-0.28774307301043134,7.321175206920305,10.50438115434861,10.589129273763444,-0.08474811941483296,23.258993638393065,9496.057411558315,9783.085471620809,0.012932516205646527
2088,38.24,-0.14131956887202524,23.64251140682909,8.533064756720673,8.72701357294321,-0.19394881622253735,23.065044822170528,45798.825069321625,45632.60144827846,-0.0015791087083349574
2089,38.22,0.3315306592645566,36.048663530530554,3.5339429410222465,3.4142973916143444,0.11964554940790206,23.18469037157843,96367.83949012532,91473.86838103489,-0.022635076912945803
2090,38.2,1.0525039298751677,10.451855776624042,3.28296347966356,3.235393406442837,0.04757007322072315,23.232260444799152,13797.41702979488,10463.580073808675,-0.12011748898374738
2091,38.18,1.2615410454076486,7.657915513126046,3.073374307712932,3.0986614213711565,-0.02528711365822467,23.20697333114093,9898.068308724814,6981.205105086845,-0.1516200490497195
2092,38.16,1.4146993556701695,-4.3638591327991305,2.800928559619559,2.7986875916632665,0.0022409679562924723,23.209214299097223,4601.592947724064,5689.419896568233,0.09215978843064755
