k,age_ka,X_old,X_new,Vhat_old,Vhat_new,regime_switch,m2_ios_contribution,m2_loo_valid,m2_nit,m2_seconds,m2_parameter_shift_relative,m2_start_kind,m2_warm_start_excess_nll,m3_ios_contribution,m3_loo_valid,m3_nit,m3_seconds,m3_parameter_shift_relative,m3_start_kind,m3_warm_start_excess_nll,m4_ios_contribution,m4_loo_valid,m4_nit,m4_seconds,m4_parameter_shift_relative,m4_start_kind,m4_warm_start_excess_nll
1496,50.08,0.9568968996515883,0.7824817786887679,-8.72075604814102,-3.9806524469358395,False,0.000178019220387,True,1,0.0334343330000024,0.0002001911680065,full fit warm start,0.0,0.0001991143926431,True,1,0.0412982910000039,0.0002319739773973,full fit warm start,0.0,0.0006267869098603,True,15,0.4441613330000109,0.0043871882435068,full fit warm start,0.0
1497,50.06,0.7824817786887679,0.7028687297500511,-3.9806524469358395,-2.1759210178536215,False,0.0001727917607086,True,1,0.0334182080000005,0.0001981888664503,full fit warm start,0.0,0.0001878328978186,True,1,0.041395499999993,0.0002292801652081,full fit warm start,0.0,0.0005693237689996,True,26,0.9299760000003516,0.0045562147574154,full fit warm start,0.0
1498,50.04,0.7028687297500511,0.6593503093929787,-2.1759210178536215,1.0513573386210062,False,0.0002024874324768,True,1,0.0333415839999986,0.0002073688901746,full fit warm start,0.0,0.0002178221886941,True,1,0.0412900420000141,0.0002356861529515,full fit warm start,0.0,0.0006984411646882,True,66,1.9508284579997053,0.0124394176459316,full fit warm start,0.0
1499,50.02,0.6593503093929787,0.6803774561653988,1.0513573386210062,2.364604860252828,False,0.0001775947621593,True,1,0.0334331660000088,0.0001918670677287,full fit warm start,0.0,0.0001888118350432,True,1,0.0413871249999999,0.0002192551418587,full fit warm start,0.0,0.0007332381318803,True,35,1.1265723750002508,0.0078109339037854,full fit warm start,0.0
1500,50.0,0.6803774561653988,0.7276695533704554,2.364604860252828,-3.0087361518034816,False,0.000157345940714,True,1,0.0334386250000022,0.0001894809753737,full fit warm start,0.0,0.000177644878903,True,1,0.0414420829999926,0.0003406574017846,full fit warm start,0.0,0.0013099659818807,True,65,1.8284753749999256,0.0242433018308362,full fit warm start,0.0
1501,49.98,0.7276695533704554,0.6674948303343857,-3.0087361518034816,-1.9268359299285276,False,0.0001748635581715,True,1,0.0334367079999964,0.0001981827222743,full fit warm start,0.0,0.0001942768793656,True,1,0.0413987919999954,0.0002419143222516,full fit warm start,0.0,0.0006161662523345,True,35,1.17163095900014,0.0057251491865175,full fit warm start,0.0
1502,49.96,0.6674948303343857,0.6289581117358152,-1.9268359299285276,8.142048562260973,False,0.0001741487072086,True,1,0.0333132910000131,0.0001765174602854,full fit warm start,0.0,0.0002034538965851,True,1,0.0414734169999917,0.0005785960535645,full fit warm start,0.0,0.008089134830846,True,72,2.262464207999983,0.0698148151258142,full fit warm start,0.0
1503,49.94,0.6289581117358152,0.7917990829810346,8.142048562260973,6.562385637731527,False,7.152377715335945e-05,True,1,0.0367009580000115,0.0001238685973083,full fit warm start,0.0,7.420676414504612e-05,True,1,0.041394208000014,0.0001936545650935,full fit warm start,0.0,0.0012617766050611,True,66,2.1153891250000925,0.020383676026144,full fit warm start,0.0
1504,49.92,0.7917990829810346,0.9230467957356652,6.562385637731527,-0.6159539513740153,False,0.0002608542652011,True,2,0.0488719159999959,0.0002106188573474,full fit warm start,0.0,0.000279408746131,True,2,0.0596617500000036,0.0003501981300052,full fit warm start,0.0,0.0011750555295528,True,50,1.3631353329997182,0.0104940461651736,full fit warm start,0.0
1505,49.9,0.9230467957356652,0.9107277167081849,-0.6159539513740153,2.2550625238811683,False,0.0001532539429942,True,1,0.0347909169999951,0.0001842008209018,full fit warm start,0.0,0.0001601734474387,True,1,0.0415331659999935,0.0002449695075974,full fit warm start,0.0,0.0008699811079733,True,67,1.8326015839998036,0.0113007665264262,full fit warm start,0.0
