traj,seed,truth,generating_model,success,error,nll_m3,convergence_m3,m3_eta,m3_a,m3_b,m3_c,m3_d,m3_alpha,m3_beta,m3_gamma,m3_delta,m3_epsilon,m3_zeta,nll_m4,convergence_m4,m4_eta,m4_a,m4_b,m4_c,m4_d,m4_alpha,m4_beta,m4_gamma,m4_delta,m4_epsilon,m4_zeta,contrast,time_sec
23,20260644,weak,M4,True,,6948.47236638168,0,36.27419317144869,-131.19545318734887,38.716164395961286,162.1245272937959,-10.405242333190891,20.92033979737383,-14.503705441519639,1400.5453658640072,0.0,0.0,0.0,6947.996883607835,0,36.365104144613774,-131.46592445861864,39.15872688296677,161.06356001872143,-10.310704605672857,21.02873865266852,-18.03508637272415,1400.6993343648799,1.519724184849563,11.306260691730252,-4.848350428807464,0.95096554769043,10.491785749999998
24,20260645,weak,M4,True,,7020.605851517949,0,38.3569082121579,-141.35222408906768,35.71376653472826,177.373243943115,-4.9933664541580844,18.338542661390665,-17.150966061125576,1643.9147487137882,0.0,0.0,0.0,7020.542576772827,0,38.36643881813459,-141.22199593795924,35.76737633224918,176.77649376571057,-4.914475115012299,18.41109791955615,-18.94959684366525,1642.4039853752702,0.29939870879461716,4.695640081865888,-2.4164905010852014,0.12654949024545203,13.184329249999998
25,20260646,weak,M4,True,,6855.317973247336,0,36.17236734313295,-129.52357341164586,37.98820055567397,150.56797962751475,-27.20450052132713,13.996587669371436,-12.846452485689722,1520.3898889342695,0.0,0.0,0.0,6848.066065190476,0,36.08049807697063,-125.42368841855206,41.65044750849214,150.17899890463872,-27.331649920854943,13.05736368839684,-57.046188339215334,1552.7031780468624,65.39131861824322,-58.441020841947555,127.66120180325127,14.50381611371995,11.352045249999996
26,20260647,weak,M4,True,,7061.163608971043,0,37.64047146211258,-131.27773943784524,50.136638745947145,154.47284826126997,-23.082479607082284,15.573182282374866,-37.62267350834857,1733.8852769780854,0.0,0.0,0.0,7056.998824668004,0,37.44764649644487,-130.02671655722372,50.515143970687376,149.38735525510435,-21.941058332634487,14.996120559243977,-53.9793412572366,1730.6257789032984,19.627845662111856,34.31276962690498,-61.755328448260485,8.329568606077373,15.17601175
27,20260648,weak,M4,True,,7011.911747476259,0,37.70827239935105,-142.25482310196008,27.90678647081678,170.1363863256271,-8.386658839183598,25.730991498910154,-13.13809988531473,1366.3806557776788,0.0,0.0,0.0,7007.464899010407,0,37.40828408051095,-141.77067984339797,27.906049848223,168.20778438102144,-8.62686842425204,25.508376052554915,-12.51763866927397,1226.734746802963,136.52009079299327,8.02913467064644,48.41530769481858,8.893696931703744,15.504074291999999
28,20260649,weak,M4,True,,6890.901727249406,0,37.78953733143783,-120.8903431752015,56.19011640367542,137.34343360576534,-34.78798033935748,19.36412625538245,-31.897908813092315,1452.718968104023,0.0,0.0,0.0,6888.418736571712,0,37.834754963290116,-120.54684250309629,57.01873211497261,138.98790278316204,-34.779763567940016,19.003261160046844,-42.38834159744298,1443.2047734640762,8.983448978482574,-24.928361691849144,-39.942372619180986,4.965981355388067,25.698934249999994
29,20260650,weak,M4,True,,6803.164827850755,0,38.15649386747128,-117.31153525889403,37.11019513162151,142.41505009960585,-6.334416689596036,13.54620226869808,-30.91725307212045,1552.9190578928346,0.0,0.0,0.0,6800.561216778872,0,38.17867096048797,-116.79616638113323,35.934943822510796,142.59935549059406,-5.949984447968471,13.648305269905352,-27.124467567584404,1500.3940976276988,1.887207647481485,-4.90902510675223,97.60922951013242,5.207222143764739,19.996416542000006
30,20260651,weak,M4,True,,6872.618747518041,0,39.006994751616254,-127.65288636738154,36.79441530885845,152.5640150893761,-15.998141990900285,23.567939629520193,-12.941307392168305,1362.3730371142146,0.0,0.0,0.0,6871.884329268922,0,38.96293947412745,-127.31010169693688,36.696652649385406,151.22734941920638,-16.04203004035085,23.73356532473605,-11.312849453935598,1356.8667246847958,1.267149736793838,9.057375250982917,37.124471242909244,1.4688364982393978,26.078712749999994
31,20260652,weak,M4,True,,6904.379282515144,0,39.14212036555273,-136.07992410312423,47.77262776491323,171.34303034696867,-30.646569320569945,22.599468734030673,4.20964392549517,1441.5028522335513,0.0,0.0,0.0,6896.285578595426,0,39.30475221531188,-135.26105834381008,48.88413751383934,172.2598196482197,-30.820427763136045,22.172014315829358,-12.465267357644487,1521.6929789339888,36.336053596069235,-26.333886131218197,185.41864370350902,16.187407839435764,20.852985792000027
32,20260653,weak,M4,True,,7084.043270550221,0,37.32064937696053,-128.33697184247362,49.597617040957935,152.1076690513912,-33.69492945242563,27.91484020086137,-6.468719869213588,1322.9962326088714,0.0,0.0,0.0,7083.070068605373,0,37.238668350829265,-127.88181588902096,50.103640767438755,151.92464323831172,-33.810611609623784,27.616333556693117,-9.836528288696496,1265.0615040963096,59.32873272219675,-7.405979637275205,-34.2073524911603,1.9464038896949205,14.915533916999976
33,20260654,weak,M4,True,,7031.242718095804,0,37.6716213716668,-138.41366547513266,46.470583134398694,172.62500139694683,-22.60515500293612,17.525317731767338,-36.40945091892242,1641.694659563631,0.0,0.0,0.0,7030.610982234597,0,37.69010770828812,-138.4076622286749,46.22303838113614,171.21840898641986,-22.570326457760622,17.686112584142744,-34.635042409517894,1631.8117941080982,2.9378334541731284,14.416497941451233,-14.116047696274828,1.2634717224136693,22.80464012500002
