traj,seed,observation,success,convergence,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_path_rmse,q_path_relative_rmse,q_path_min,time_sec
5,20260625,complete,True,0,,M2,symmetric Student Kramers model,28.94329431417166,-82.49003430540154,0.0,91.0794732069402,0.0,17.60741030951147,-0.6611799590097388,1382.0870075763198,0.0,0.0,0.0,-4017.9297912439088,162.32805683541582,0.08559341930600349,1382.0808169264426,2.039999875000035
5,20260625,partial,True,0,,M2,symmetric Student Kramers model,37.00883928535386,-134.94281887667273,0.0,157.0762570577059,0.0,16.404245061640786,-23.175173095967295,1533.9417457217005,0.0,0.0,0.0,6922.612947717652,273.52467910537183,0.14422591513519717,1525.7569680682811,88.729030916
6,20260626,complete,True,0,,M2,symmetric Student Kramers model,25.850914014044918,-91.58731604762076,0.0,102.86257371988837,0.0,17.50886466316925,-19.065112511420185,1380.9405277167136,0.0,0.0,0.0,-3751.0649421578946,259.47866319847117,0.12658708831885032,1375.750606957758,1.6074808749999647
6,20260626,partial,True,0,,M2,symmetric Student Kramers model,35.896749574631585,-129.2139488450332,0.0,147.48831322064407,0.0,21.32525489009134,-0.19764255779563883,1456.438107584997,0.0,0.0,0.0,7074.034928085073,266.7474108093381,0.1301331586756274,1456.4377822438323,99.82879012499995
7,20260627,complete,True,0,,M2,symmetric Student Kramers model,27.352845057591995,-88.06032854589914,0.0,105.00904599198091,0.0,18.723148341553806,-3.4608943254949494,1269.8209546284497,0.0,0.0,0.0,-4183.892974027249,131.6893926587336,0.06703393946133085,1269.661046234845,1.7015067499999077
7,20260627,partial,True,0,,M2,symmetric Student Kramers model,37.27237900030525,-113.89988473486926,0.0,139.0541398430779,0.0,24.906358588708468,11.056006973297588,1291.073501727945,0.0,0.0,0.0,6921.530151402967,500.8727228701453,0.25495957650680645,1289.8466095092087,114.44770899999992
8,20260628,complete,True,0,,M2,symmetric Student Kramers model,25.97484878478897,-85.66106753907937,0.0,101.38464651665805,0.0,20.540675386118465,-7.305389087205944,1246.7032964011478,0.0,0.0,0.0,-3929.794992940211,50.92571271734868,0.02571003475487767,1246.0546387172199,1.542244041999993
8,20260628,partial,True,0,,M2,symmetric Student Kramers model,37.38039096827937,-126.51386631012943,0.0,148.85498615052114,0.0,23.573296778079683,-33.16724647787301,1433.3778417912126,0.0,0.0,0.0,7034.775120947837,461.8714036965437,0.23317748947825628,1421.7114060389308,102.68218387500008
9,20260629,complete,True,0,,M2,symmetric Student Kramers model,25.917493843695546,-98.79407691102281,0.0,110.48470520523158,0.0,18.32116931947063,13.329670927219768,1347.8005202133627,0.0,0.0,0.0,-3802.5159890092154,231.3450989239102,0.1142059390776734,1345.3760021282185,1.3480188749999797
9,20260629,partial,True,0,,M2,symmetric Student Kramers model,37.05472353840905,-139.2755386906656,0.0,159.6367799087126,0.0,25.958589957595297,-13.053684736755521,1448.7482528400744,0.0,0.0,0.0,7146.551454363929,737.2147057471966,0.36393378620664407,1447.1072568858913,116.29074437500003
